category_id,recent_records,institution_metadata_fraction,title_only_fraction,jan1_fraction,needs_review_fraction,supported_fraction
C0269,629,0.8887122416534181,0.2368839427662957,0.14626391096979333,0.1192368839427663,0.0
C0296,546,0.7216117216117216,0.2087912087912088,0.15934065934065933,0.06227106227106227,0.0
C0672,556,0.8723021582733813,0.4802158273381295,0.13309352517985612,0.0,1.0
C0301,519,0.8670520231213873,0.03275529865125241,0.06551059730250482,0.11753371868978806,0.0
C0542,315,0.7968253968253968,0.23492063492063492,0.14603174603174604,0.0,1.0
C0200,823,0.8080194410692588,0.12393681652490887,0.22114216281895505,0.0583232077764277,0.0
C0633,418,0.777511961722488,0.37320574162679426,0.20813397129186603,0.0,1.0
C0402,1327,0.8236623963828184,0.19517709118311982,0.10324039186134137,0.020346646571213264,0.0
C0565,156,0.8782051282051282,0.4423076923076923,0.1794871794871795,0.0,1.0
C0590,100,0.92,0.4,0.08,0.0,1.0
C0619,160,0.86875,0.36875,0.09375,0.0,1.0
C0398,964,0.9107883817427386,0.5114107883817427,0.15767634854771784,1.0,0.0
C0082,940,0.6117021276595744,0.19042553191489361,0.16276595744680852,1.0,0.0
C0550,185,0.8756756756756757,0.2648648648648649,0.23243243243243245,0.0,1.0
C0444,410,0.526829268292683,0.6682926829268293,0.2146341463414634,0.012195121951219513,0.0
C0653,84,0.75,0.14285714285714285,0.11904761904761904,0.0,1.0
C0396,249,0.26907630522088355,0.7028112449799196,0.17269076305220885,1.0,0.0
C0007,673,0.849925705794948,0.04457652303120357,0.08320950965824665,1.0,0.0
C0729,74,0.7027027027027027,0.16216216216216217,0.20270270270270271,0.0,1.0
C0707,25,0.8,0.48,0.24,0.0,1.0
C0356,183,0.5737704918032787,0.03825136612021858,0.13114754098360656,1.0,0.0
C0326,200,0.865,0.36,0.07,1.0,0.0
C0604,199,0.8241206030150754,0.36180904522613067,0.21105527638190955,0.0,1.0
C0162,244,0.7786885245901639,0.15163934426229508,0.13114754098360656,1.0,0.0
C0743,198,0.9545454545454546,0.37373737373737376,0.18686868686868688,0.0,1.0
C0071,657,0.8736681887366818,0.3181126331811263,0.1111111111111111,0.0441400304414003,0.0
C0163,177,0.7401129943502824,0.03389830508474576,0.096045197740113,0.23163841807909605,0.0
C0634,476,0.8928571428571429,0.6113445378151261,0.1323529411764706,0.0,1.0
C0213,492,0.7520325203252033,0.36585365853658536,0.18699186991869918,0.2601626016260163,0.0
C0087,49,0.6326530612244898,0.1836734693877551,0.08163265306122448,1.0,0.0
C0596,15,0.7333333333333333,0.06666666666666667,0.06666666666666667,0.0,1.0
C0299,118,0.8135593220338984,0.19491525423728814,0.11016949152542373,1.0,0.0
C0673,36,0.8888888888888888,0.1388888888888889,0.1111111111111111,0.0,1.0
C0329,44,0.22727272727272727,0.45454545454545453,0.22727272727272727,1.0,0.0
C0375,582,0.7972508591065293,0.1718213058419244,0.20103092783505155,1.0,0.0
C0351,189,0.6772486772486772,0.05291005291005291,0.164021164021164,0.026455026455026454,0.0
C0650,98,0.7653061224489796,0.5714285714285714,0.16326530612244897,0.0,1.0
C0623,175,0.8285714285714286,0.36,0.2057142857142857,0.0,1.0
C0697,55,0.9272727272727272,0.5272727272727272,0.23636363636363636,0.0,1.0
C0504,102,0.7254901960784313,0.2647058823529412,0.20588235294117646,0.0,1.0
C0032,67,0.7313432835820896,0.23880597014925373,0.208955223880597,0.0,0.0
C0160,220,0.6136363636363636,0.22727272727272727,0.2409090909090909,0.00909090909090909,0.0
C0689,114,0.8947368421052632,0.32456140350877194,0.07894736842105263,0.0,1.0
C0578,77,0.8701298701298701,0.2077922077922078,0.09090909090909091,0.0,1.0
C0589,28,0.7142857142857143,0.4642857142857143,0.21428571428571427,0.0,1.0
C0607,38,0.8421052631578947,0.39473684210526316,0.13157894736842105,0.0,1.0
C0305,10,0.4,0.3,0.1,1.0,0.0
C0242,103,0.6213592233009708,0.11650485436893204,0.13592233009708737,1.0,0.0
C0215,7,0.7142857142857143,0.42857142857142855,0.0,1.0,0.0
C0519,75,0.9066666666666666,0.21333333333333335,0.10666666666666667,0.0,1.0
